tweet_id,timestamp,retweeted_status_id,rating_numerator,rating_denominator,name,dogtype,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,created_at,retweet_count,favorite_count,possibly_sensitive,lang
883838122936631299,2017-07-09 00:00:04 +0000,,12.0,10,Noah,undefined,https://pbs.twimg.com/media/DEQGFgAXUAAEvfi.jpg,1,doberman,0.610946,True,miniature_pinscher,0.299603,True,kelpie,0.0630203,True,2017-07-09 00:00:04+00:00,3586,22349,0.0,en
883482846933004288,2017-07-08 00:28:19 +0000,,13.5,10,Bella,undefined,https://pbs.twimg.com/media/DELC9dZXUAADqUk.jpg,1,golden_retriever,0.943082,True,labrador_retriever,0.032409,True,kuvasz,0.00550072,True,2017-07-08 00:28:19+00:00,10407,46860,0.0,en
883360690899218434,2017-07-07 16:22:55 +0000,,13.0,10,Grizzwald,floofer,https://pbs.twimg.com/media/DEJT3FeXoAAtwUy.jpg,1,chow,0.987997,True,tibetan_mastiff,0.00709872,True,newfoundland,0.00214033,True,2017-07-07 16:22:55+00:00,3825,22986,0.0,en
883117836046086144,2017-07-07 00:17:54 +0000,,13.0,10,None,undefined,https://pbs.twimg.com/media/DEF2-_hXoAAs62q.jpg,2,golden_retriever,0.949562,True,labrador_retriever,0.045947900000000014,True,kuvasz,0.00247094,True,2017-07-07 00:17:54+00:00,6949,37914,0.0,en
882992080364220416,2017-07-06 15:58:11 +0000,,13.0,10,Rusty,undefined,https://pbs.twimg.com/media/DEEEnIqXYAAiJh_.jpg,1,eskimo_dog,0.466778,True,siberian_husky,0.406044,True,dingo,0.07341439999999999,False,2017-07-06 15:58:11+00:00,4122,24445,0.0,en
882762694511734784,2017-07-06 00:46:41 +0000,,12.0,10,Gus,pupper,https://pbs.twimg.com/media/DEAz_HHXsAA-p_z.jpg,1,labrador_retriever,0.85005,True,chesapeake_bay_retriever,0.074257,True,flat-coated_retriever,0.015579399999999997,True,2017-07-06 00:46:41+00:00,5134,28903,0.0,en
882627270321602560,2017-07-05 15:48:34 +0000,,13.0,10,Stanley,undefined,https://pbs.twimg.com/media/DD-40X3WAAAJPU5.jpg,1,pembroke,0.542982,True,chihuahua,0.251988,True,cardigan,0.107699,True,2017-07-05 15:48:34+00:00,6342,28382,0.0,en
882268110199369728,2017-07-04 16:01:23 +0000,,13.0,10,Alfy,undefined,https://pbs.twimg.com/media/DD5yKdPW0AArzX8.jpg,1,golden_retriever,0.762211,True,labrador_retriever,0.0989849,True,cocker_spaniel,0.0171995,True,2017-07-04 16:01:23+00:00,12118,45880,0.0,en
882045870035918850,2017-07-04 01:18:17 +0000,,13.0,10,Koko,undefined,https://pbs.twimg.com/media/DD2oCl2WAAEI_4a.jpg,1,web_site,0.949591,False,dhole,0.0173258,False,golden_retriever,0.00694063,True,2017-07-04 01:18:17+00:00,5203,29900,0.0,en
881906580714921986,2017-07-03 16:04:48 +0000,,12.0,10,Rey,undefined,https://pbs.twimg.com/media/DD0pWm9XcAAeSBL.jpg,1,weimaraner,0.291539,True,chesapeake_bay_retriever,0.278966,True,koala,0.12701700000000002,False,2017-07-03 16:04:48+00:00,3533,24773,0.0,en
